pes_per_path;n_paths;sample_dim;LUTs;FFs;BRAMs;Ps8LUTs;Ps8FFs;Outlier
4;1;384;6160;1600;8;5337;6169;No
4;2;384;10712;3076;16;9021;10394;No
4;3;384;15374;4568;24;12318;14598;No
4;4;384;20016;6048;32;18636;21630;No
4;5;384;24639;7528;40;22008;25879;No
4;6;384;29200;9100;48;26000;30200;No
6;1;384;7007;2264;12;7239;8273;No
6;2;384;12384;4420;24;12304;14600;No
6;3;384;17925;6581;36;20134;23756;No
6;4;384;23500;8700;48;26570;31006;No
8;1;384;7845;2936;16;9034;10394;No
8;2;384;14050;5762;32;18564;21631;No
8;3;384;20496;8593;48;26609;31001;No
8;4;384;26700;11400;64;35900;41000;No
4;1;320;5087;1320;8;5337;6169;No
4;2;320;8985;2526;16;9021;10394;No
4;3;320;12957;3746;24;12318;14598;No
4;4;320;16811;4948;32;18636;21630;No
4;5;320;20863;6164;40;22008;25879;No
4;6;320;24813;7378;48;26000;30200;No
6;1;320;5833;1853;12;7239;8273;No
6;2;320;10451;3613;24;12304;14600;No
6;3;320;15170;5374;36;20134;23756;No
6;4;320;19890;7121;48;26570;31006;No
6;5;320;25500;8900;60;34000;39500;No
8;1;320;6568;2397;16;9034;10394;No
8;2;320;11916;4699;32;18564;21631;No
8;3;320;17490;7003;48;26609;31001;No
8;4;320;23000;9300;64;35900;41000;No
4;1;448;7226;1896;8;5337;6169;No
4;2;448;12418;3673;16;9021;10394;No
4;3;448;17757;5455;24;12318;14598;No
4;4;448;22950;7202;32;18636;21630;No
4;5;448;28100;9000;40;22008;25879;No
6;1;448;8143;2704;12;7239;8273;No
6;2;448;14242;5285;24;12304;14600;No
6;3;448;20545;7879;36;20134;23756;No
6;4;448;26800;9500;48;26570;31006;No
8;1;448;9071;3513;16;9034;10394;No
8;2;448;16169;6899;32;18564;21631;No
8;3;448;23200;10300;48;26609;31001;No
4;1;512;8505;2176;8;5337;6169;No
4;2;512;14568;4223;16;9021;10394;No
4;3;512;20690;6271;24;12318;14598;No
4;4;512;26839;8297;32;18636;21630;No
4;5;512;32996;10341;40;22008;25879;No
6;1;512;9614;3113;12;7239;8273;No
6;2;512;16760;6086;24;12304;14600;No
6;3;512;24083;9073;36;20134;23756;No
6;4;512;31200;12000;48;26570;31006;No
8;1;512;10722;4048;16;9034;10394;No
8;2;512;18969;7958;32;18564;21631;No
8;3;512;27494;11881;48;26609;31001;No
4;1;640;10756;2781;8;5337;6169;No
4;2;640;18215;5381;16;9021;10394;No
4;3;640;25784;7997;24;12318;14598;No
4;4;640;33200;10600;32;18636;21630;No
6;1;640;12081;3968;12;7239;8273;No
6;2;640;20899;7770;24;12304;14600;No
6;3;640;29815;11572;36;20134;23756;No
6;4;640;38700;15300;48;26570;31006;No
8;1;640;13403;5173;16;9034;10394;No
8;2;640;23612;10150;32;18564;21631;No
8;3;640;33800;15125;48;26609;31001;No
4;1;768;13017;3367;8;5337;6169;No
4;2;768;21870;6521;16;9021;10394;No
4;3;768;30851;9695;24;12318;14598;No
4;4;768;39700;12900;32;18636;21630;No
6;1;768;14507;4823;12;7239;8273;No
6;2;768;24935;9434;24;12304;14600;No
6;3;768;35300;14050;36;20134;23756;No
8;1;768;16029;6276;16;9034;10394;No
8;2;768;28014;12348;32;18564;21631;No
8;3;768;40000;18500;48;26609;31001;No
30;1;384;17087;10323;60;32036;37345;No
25;1;384;14937;8644;50;27345;32077;No
20;1;384;12832;6965;40;21979;25876;No
15;1;384;10756;5286;30;15623;17774;No
10;1;384;8672;3607;20;10958;12498;No
12;2;384;17467;8444;48;26585;31004;No
15;2;384;20039;10459;60;32069;37352;No
10.5;2;384;16126;7442;42;22859;26929;No
13.5;2;384;18716;9456;54;29278;34196;No
8.333;3;384;20856;8926;50;27391;32075;No
6.666;3;384;8325;3752;40;21979;25875;Si
5.333;3;384;7496;3053;32;18579;21636;Si
30;1;320;14760;8376;60;32036;37345;No
25;1;320;12832;7017;50;27345;32077;No
20;1;320;10977;5658;40;21979;25876;No
15;1;320;9144;4299;30;15623;17774;No
10;1;320;7308;2940;20;10958;12498;No
12;2;320;14855;6869;48;26585;31004;No
15;2;320;17205;8500;60;32069;37352;No
10.5;2;320;13758;6060;42;22859;26929;No
13.5;2;320;16058;7690;54;29278;34196;No
8.333;3;320;17800;7274;50;27391;32075;No
6.666;3;320;5964;2454;40;21979;25875;Si
5.333;3;320;5343;2011;32;18579;21636;Si
30;1;448;19276;12395;60;32036;37345;No
25;1;448;16943;10376;50;27345;32077;No
20;1;448;14564;8357;40;21979;25876;No
15;1;448;12278;6337;30;15623;17774;No
10;1;448;9978;4318;20;10958;12498;No
12;2;448;19856;10125;48;26585;31004;No
15;2;448;22800;12500;60;32069;37352;No
10.5;2;448;18392;8921;42;22859;26929;No
13.5;2;448;21271;11339;54;29278;34196;No
8.333;3;448;23770;10699;50;27391;32075;No
6.666;3;448;10684;5120;40;21979;25875;Si
5.333;3;448;9701;4165;32;18579;21636;Si
25;1;512;20209;12001;50;27345;32077;No
20;1;512;17307;9662;40;21979;25876;No
15;1;512;14566;7323;30;15623;17774;No
10;1;512;11816;4983;20;10958;12498;No
12;2;512;23472;11696;48;26585;31004;No
10.5;2;512;21841;10304;42;22859;26929;No
13.5;2;512;25182;13105;54;29278;34196;No
8.333;3;512;26700;12500;50;27391;32075;No
6.666;3;512;13906;6431;40;21979;25875;Si
5.333;3;512;12560;5245;32;18579;21636;Si
20;1;640;21342;12344;40;21979;25876;No
15;1;640;18042;9357;30;15623;17774;No
10;1;640;14676;6366;20;10958;12498;No
10.5;2;640;26893;13138;42;22859;26929;No
6.666;3;640;18809;9092;40;21979;25875;Si
5.333;3;640;17070;7394;32;18579;21636;Si
20;1;768;25131;15015;40;21979;25876;No
15;1;768;21280;11376;30;15623;17774;No
10;1;768;17522;7738;20;10958;12498;No
4;1;896;15260;3955;8;5337;6169;No
4;2;896;25563;7651;16;9021;10394;No
4;3;896;35912;11367;24;12318;14598;No
6;1;896;16915;5665;12;7239;8273;No
6;2;896;28941;11084;24;12304;14600;No
8;1;896;18631;7372;16;9034;10394;No
15;1;896;24615;13371;30;15623;17774;No
10;1;896;20354;9087;20;10958;12498;No
5.333;3;896;26454;11785;32;18579;21636;Si
4;1;1024;17511;4539;8;5337;6169;No
4;2;1024;29150;8749;16;9021;10394;No
6;1;1024;19384;6512;12;7239;8273;No
6;2;1024;33050;12715;24;12304;14600;No
8;1;1024;21317;8476;16;9034;10394;No
15;1;1024;27999;15366;30;15623;17774;No
10;1;1024;23226;10443;20;10958;12498;No
5.333;3;1024;31051;13971;32;18579;21636;Si